iter	Passed	Remaining
0	59	59133
1	59	29835
2	60	20038
3	60	15097
4	60	12130
5	61	10170
6	61	8753
7	62	7703
8	62	6879
9	62	6219
10	63	5690
11	63	5251
12	64	4866
13	64	4538
14	64	4251
15	65	4003
16	65	3781
17	65	3585
18	66	3409
19	66	3254
20	66	3116
21	67	2988
22	67	2868
23	67	2763
24	68	2662
25	68	2570
26	69	2487
27	69	2405
28	69	2330
29	69	2259
30	70	2193
31	70	2132
32	70	2074
33	71	2020
34	71	1970
35	71	1925
36	72	1881
37	72	1837
38	72	1795
39	73	1756
40	73	1720
41	73	1687
42	74	1653
43	74	1622
44	75	1592
45	75	1564
46	75	1536
47	76	1509
48	76	1483
49	76	1459
50	77	1435
51	77	1413
52	77	1392
53	78	1370
54	78	1350
55	78	1330
56	79	1309
57	79	1290
58	79	1271
59	80	1254
60	80	1237
61	80	1221
62	81	1205
63	81	1191
64	81	1175
65	82	1160
66	82	1146
67	82	1129
68	82	1116
69	83	1103
70	83	1090
71	83	1077
72	83	1065
73	84	1053
74	84	1042
75	84	1031
76	85	1020
77	85	1010
78	85	1000
79	86	989
80	86	979
81	86	969
82	86	960
83	87	952
84	87	941
85	87	933
86	87	923
87	88	915
88	88	906
89	88	899
90	89	891
91	89	883
92	89	876
93	90	869
94	90	862
95	90	855
96	91	848
97	91	841
98	91	835
99	92	828
100	92	822
101	92	814
102	92	808
103	93	803
104	93	797
105	93	791
106	94	785
107	94	780
108	94	775
109	95	770
110	95	765
111	95	759
112	96	755
113	96	751
114	97	747
115	97	741
116	97	736
117	97	732
118	98	727
119	98	722
120	98	717
121	99	713
122	99	708
123	99	704
124	100	700
125	100	695
126	100	691
127	100	686
128	101	683
129	101	679
130	101	675
131	102	671
132	102	668
133	102	664
134	103	661
135	103	657
136	103	653
137	103	649
138	104	646
139	104	642
140	105	639
141	105	636
142	105	633
143	105	630
144	106	626
145	106	623
146	107	621
147	107	617
148	107	614
149	107	611
150	108	608
151	108	605
152	108	602
153	109	599
154	109	596
155	109	594
156	110	591
157	110	588
158	110	586
159	111	583
160	111	580
161	111	578
162	112	575
163	112	573
164	112	571
165	113	568
166	113	566
167	113	564
168	114	561
169	114	559
170	114	556
171	115	554
172	115	551
173	115	549
174	116	547
175	116	545
176	116	542
177	117	540
178	117	537
179	117	535
180	117	532
181	118	530
182	118	528
183	118	526
184	119	524
185	119	522
186	119	519
187	119	517
188	120	516
189	120	514
190	121	513
191	121	511
192	121	509
193	122	507
194	122	506
195	122	504
196	123	502
197	123	500
198	123	498
199	124	496
200	124	494
201	124	492
202	125	491
203	125	489
204	125	487
205	126	485
206	126	484
207	126	482
208	127	480
209	127	479
210	127	477
211	127	475
212	128	473
213	128	471
214	128	470
215	129	469
216	129	467
217	129	465
218	130	464
219	130	462
220	130	461
221	131	459
222	131	458
223	131	456
224	132	455
225	132	453
226	132	452
227	133	450
228	133	448
229	133	447
230	134	446
231	134	444
232	134	443
233	135	442
234	135	441
235	135	439
236	136	438
237	136	436
238	136	435
239	137	433
240	137	432
241	137	431
242	138	429
243	138	428
244	138	427
245	138	425
246	139	424
247	139	422
248	139	421
249	140	420
250	140	418
251	140	417
252	141	416
253	141	415
254	141	413
255	141	412
256	142	411
257	142	410
258	142	408
259	143	407
260	143	406
261	143	404
262	144	403
263	144	402
