iter	Passed	Remaining
0	57	57051
1	57	28672
2	57	19212
3	58	14468
4	58	11652
5	58	9754
6	59	8412
7	59	7408
8	60	6629
9	60	6000
10	61	5490
11	61	5063
12	61	4692
13	62	4381
14	62	4108
15	62	3870
16	63	3659
17	63	3468
18	63	3299
19	64	3153
20	64	3021
21	65	2897
22	65	2788
23	66	2690
24	66	2592
25	66	2501
26	67	2417
27	67	2340
28	67	2266
29	67	2198
30	68	2136
31	68	2077
32	68	2020
33	69	1967
34	69	1918
35	69	1872
36	70	1827
37	70	1786
38	70	1748
39	71	1710
40	71	1674
41	71	1639
42	72	1606
43	72	1575
44	72	1544
45	73	1516
46	73	1490
47	73	1466
48	74	1441
49	74	1418
50	75	1396
51	75	1374
52	75	1353
53	76	1331
54	76	1311
55	76	1291
56	76	1273
57	77	1255
58	77	1239
59	78	1223
60	78	1209
61	78	1194
62	79	1180
63	79	1164
64	79	1150
65	80	1137
66	80	1124
67	81	1112
68	81	1099
69	81	1087
70	82	1076
71	82	1065
72	82	1053
73	83	1042
74	83	1031
75	83	1020
76	84	1011
77	84	1001
78	84	990
79	85	980
80	85	971
81	85	962
82	86	951
83	86	942
84	86	934
85	87	925
86	87	917
87	87	911
88	88	904
89	88	896
90	88	888
91	89	882
92	89	875
93	90	868
94	90	860
95	90	853
96	91	847
97	91	841
98	91	835
99	92	829
100	92	823
101	92	817
102	93	812
103	93	806
104	94	801
105	94	796
106	94	790
107	95	785
108	95	780
109	95	775
110	96	770
111	96	764
112	96	759
113	97	754
114	97	749
115	97	744
116	97	738
117	98	734
118	98	730
119	98	725
120	99	721
121	99	716
122	99	711
123	100	707
124	100	703
125	100	698
126	100	693
127	101	689
128	101	686
129	102	682
130	102	678
131	102	675
132	102	671
133	103	667
134	103	663
135	103	660
136	104	657
137	104	654
138	105	651
139	105	649
140	105	645
141	106	641
142	106	638
143	106	635
144	107	631
145	107	628
146	107	624
147	107	621
148	108	617
149	108	615
150	109	613
151	109	611
152	110	609
153	110	609
154	111	606
155	111	603
156	111	600
157	112	599
158	112	597
159	113	595
160	113	591
161	113	589
162	114	586
163	114	584
164	115	582
165	115	581
166	116	579
167	116	576
168	116	574
169	117	572
170	117	570
171	117	567
172	118	565
173	118	564
174	119	562
175	119	560
176	120	558
177	120	556
178	121	555
179	122	556
180	122	554
181	123	553
182	123	552
183	124	551
184	124	548
185	124	546
186	125	544
187	125	542
188	126	541
189	126	539
190	126	537
191	127	535
192	127	534
193	128	532
194	128	530
195	128	528
196	129	526
197	129	524
198	129	523
199	130	522
200	130	520
201	131	518
202	131	516
203	131	514
204	132	512
205	132	510
206	132	509
207	133	507
208	133	505
209	133	503
210	134	502
211	134	500
212	134	498
213	135	497
214	135	495
215	135	493
216	136	491
217	136	489
218	136	488
219	137	486
220	137	484
221	137	483
222	138	481
223	138	479
224	138	478
225	139	477
226	139	476
227	140	475
228	140	473
229	141	472
230	141	470
231	141	469
232	142	467
233	142	466
234	142	464
235	143	463
236	143	462
237	143	460
238	144	459
239	144	457
240	144	456
241	145	456
242	146	455
243	146	453
244	146	452
245	147	451
246	147	450
247	147	448
248	148	447
249	148	446
250	149	445
251	149	443
252	149	442
253	150	441
254	150	440
255	150	438
256	151	437
257	151	436
258	152	435
259	152	434
260	153	433
261	153	432
262	153	431
263	154	429
264	154	428
265	154	426
266	155	425
267	155	424
268	155	423
269	156	421
270	156	420
271	156	419
272	157	418
273	157	417
274	158	416
275	158	415
276	158	414
277	159	413
278	159	412
279	159	410
280	160	409
281	160	408
282	160	407
283	161	406
284	161	404
285	161	403
286	162	402
287	162	401
288	162	400
289	162	398
290	163	397
291	163	396
292	164	396
293	164	394
294	164	393
295	165	392
296	165	391
297	165	390
298	166	389
299	166	388
300	166	387
301	167	386
302	167	385
303	167	384
304	168	383
305	168	382
306	168	381
307	169	380
308	169	379
309	169	378
310	170	377
311	170	375
312	170	374
313	171	373
314	171	373
315	171	372
316	172	371
317	172	370
318	172	369
319	173	368
320	173	367
321	174	366
322	174	365
323	174	364
324	175	363
325	175	362
326	175	361
327	175	360
328	176	359
329	176	358
330	177	357
331	177	356
332	177	355
333	177	354
334	178	353
335	178	352
336	178	351
337	179	351
338	179	350
339	179	349
340	180	348
341	180	347
342	181	346
343	181	345
344	181	345
345	182	344
346	182	343
347	182	342
348	183	341
349	183	340
350	183	340
351	184	339
352	184	338
353	184	337
354	185	336
355	185	335
356	185	334
357	186	334
358	186	333
359	187	332
360	187	331
361	187	330
362	188	329
363	188	329
364	188	328
365	188	327
366	189	326
367	189	325
368	189	324
369	190	323
370	190	323
371	190	322
372	191	321
373	191	320
374	191	319
375	192	318
376	192	317
377	192	317
378	193	316
379	193	315
380	193	314
381	194	314
382	194	313
383	194	312
384	195	312
385	195	311
386	196	310
387	196	309
388	196	308
389	196	307
390	197	307
391	197	306
392	197	305
393	198	304
394	198	304
395	198	303
396	199	302
397	199	301
398	199	301
399	200	300
400	200	299
401	200	298
402	201	297
403	201	297
404	201	296
405	202	295
406	202	295
407	202	294
408	203	293
409	203	293
410	204	292
411	204	291
412	204	291
413	205	290
414	205	289
415	205	288
416	206	288
417	206	287
418	206	286
419	207	286
420	207	285
421	207	284
422	208	284
423	208	283
424	209	282
425	209	282
426	209	281
427	209	280
428	210	279
429	210	279
430	211	278
431	211	277
432	211	277
433	211	276
434	212	275
435	212	275
436	212	274
437	213	273
438	213	272
439	213	272
440	214	271
441	214	271
442	214	270
443	215	269
444	215	269
445	216	268
446	216	268
447	216	267
448	217	266
449	217	265
450	217	265
451	218	264
452	218	263
453	218	263
454	219	262
455	219	261
456	219	261
457	220	260
458	220	259
459	220	259
460	221	258
461	221	257
462	221	257
463	222	256
464	222	256
465	222	255
466	223	254
467	223	254
468	224	253
469	224	253
470	224	252
471	225	251
472	225	251
473	225	250
474	226	249
475	226	249
476	226	248
477	227	248
478	227	247
479	227	246
480	228	246
481	228	245
482	228	245
483	229	244
484	229	243
485	229	243
486	230	242
487	230	242
488	231	241
489	231	240
490	231	240
491	232	239
492	232	239
493	232	238
494	233	237
495	233	237
496	233	236
497	234	236
498	234	235
499	235	235
500	236	235
501	236	234
502	236	233
503	237	233
504	237	232
505	237	232
506	238	231
507	238	230
508	238	230
509	239	229
510	239	229
511	239	228
512	240	228
513	240	227
514	241	226
515	241	226
516	241	225
517	242	225
518	242	224
519	242	224
520	243	223
521	243	223
522	244	222
523	244	222
524	244	221
525	245	221
526	245	220
527	245	219
528	246	219
529	246	218
530	247	218
531	247	217
532	247	217
533	248	216
534	248	215
535	248	215
536	248	214
537	249	214
538	249	213
539	250	213
540	250	212
541	250	211
542	251	211
543	251	210
544	251	210
545	252	209
546	252	209
547	252	208
548	253	208
549	253	207
550	253	206
551	254	206
552	254	205
553	255	205
554	255	204
555	255	204
556	256	203
557	256	203
558	256	202
559	257	202
560	257	201
561	258	201
562	258	200
563	258	200
564	259	199
565	259	198
566	259	198
567	260	197
568	260	197
569	260	196
570	261	196
571	261	195
572	262	195
573	262	194
574	262	194
575	263	193
576	263	193
577	263	192
578	264	191
579	264	191
580	264	190
581	265	190
582	265	189
583	265	189
584	266	188
585	266	188
586	266	187
587	267	187
588	267	186
589	267	186
590	268	185
591	268	185
592	268	184
593	269	184
594	269	183
595	269	183
596	270	182
597	270	182
598	271	181
599	271	180
600	271	180
601	272	179
602	272	179
603	273	179
604	273	178
605	273	178
606	274	177
607	274	177
608	275	176
609	275	176
610	276	175
611	276	175
612	276	174
613	277	174
614	277	173
615	277	173
616	278	172
617	278	172
618	279	171
619	279	171
620	279	170
621	280	170
622	280	169
623	281	169
624	281	168
625	282	168
626	282	168
627	282	167
628	283	166
629	283	166
630	283	165
631	284	165
632	284	164
633	284	164
634	285	163
635	285	163
636	285	162
637	286	162
638	286	161
639	286	161
640	287	160
641	287	160
642	287	159
643	288	159
644	288	158
645	289	158
646	289	157
647	289	157
648	290	156
649	290	156
650	290	155
651	291	155
652	291	154
653	291	154
654	292	153
655	292	153
656	293	152
657	293	152
658	293	152
659	294	151
660	294	151
661	294	150
662	295	150
663	295	149
664	295	149
665	296	148
666	296	148
667	296	147
668	297	147
669	297	146
670	298	146
671	298	145
672	298	145
673	298	144
674	299	144
675	299	143
676	300	143
677	300	142
678	300	142
679	301	141
680	301	141
681	301	140
682	302	140
683	302	139
684	302	139
